OBJECTID,JUR,PARID,CARD,TAXYR,SEQ,CUR,WHO,WEN,WHOCALC,WENCALC,STATUS,STORIES,EXTWALL,STYLE,YRBLT,EFFYR,YRREMOD,RMTOT,RMBED,RMFAM,FIXBATH,FIXHALF,FIXADDL,FIXTOT,PLUMVAL,REMKIT,REMBATH,BSMT,BSMTVAL,HEAT,FUEL,HEATSYS,HEATVAL,ATTIC,ATTICVAL,INTEXT,MASTRIMW,MASTRIML,MASTRIMAREA,TRIMVAL,UNFINW,UNFINL,UNFINAREA,UNFINVAL,RECROMW,RECROML,RECROMAREA,RECVAL,FINBSMTW,FINBSMTL,FINBSMTAREA,FINBSMTVAL,UFEATW,UFEATL,UFEATAREA,UFEATVAL,WBFP_O,WBFP_S,WBFP_X,WBFP_PF,WBFP_PFX,WBFPVAL,BSMTCAR,BGARVAL,MSC1DES,MSC1NUM,MSC1VAL,MSC2DES,MSC2NUM,MSC2VAL,CONDOLVL,CONDOTYP,CONDOVW,CNDCMPLX,CLINE,UNITNO,CNDBASEVAL,CNDADJVAL,GRMUNITS,GRMRENT,ADJGRMFACT,RESGRMVAL,MGFA,SFLA,FLR1AREA,ADJAREA,AREAFACT,SHFACT,CNSTFACT,CNSTVAL,SUBTVAL,GRADE,GRDFACT,CDDESC,CDPCT,USERFACT,USERAMT,LOCMULT,BASERCN,RCNVAL,CDU,DEPR,MKTADJ,MKTRSN,BASERCNLD,ADDNAREA,ADDNVAL,RCNLD,ADJFACT,PCTCOMPLETE,ADJRCNLD,NOTE1,NOTE2,CLASS,DEGREM,COND,VALMETH,RECTYPE,RESMOD,MODOVER,EXMPPCTOVER,EXMPPCT,EXMPVAL,AREASUM,OBSDEP,OBSRSN,FUNDEP,FUNRSN,ECNDEP,ECNRSN,BLDGUSE,CONVBLDG,CHGRSN,DEPRT,USER1,USER2,USER3,USER4,USER5,USER6,USER7,USER8,USER9,USER10,USER11,USER12,USER13,USER14,USER15,USER16,USER17,USER18,USER19,USER20,DEACTIVAT,SALEKEY,IASW_ID,TRANS_ID,UPD_STATUS
975507,000,6711329,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:43:30,3,1.0,6,34,1943,None,None,4,2,None,1,None,2,5,0,None,None,1,0,2,2,1,0,1,0,None,None,None,None,0,None,None,None,0,None,None,240,1800,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,700,700,700,700,0.708000004292,1.0,1.0,79860,81660,None,0.850000023842,None,None,1.0,0.0,1.0,69411.0,69410.0,AV,55,None,None,41610.0,0,0.0,41610.0,0.949999988079,None,39530.0,None,None,None,None,None,D,R,1,None,None,100.0,39530.0,700.0,None,None,None,None,109,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9654e+008,None,None
975632,000,3203456,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:16:56,3,2.0,6,33,2001,None,None,7,3,None,2,1,2,10,5000,None,None,1,0,3,2,1,3230,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,1,1,None,None,None,3000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1002,2196,1002,1000,0.883000016212,1.5,1.0,149440,198790,None,1.35000002384,None,None,1.0,0.0,1.0,268367.0,268370.0,GD,92,None,None,175300.0,192,38120.0,175300.0,0.920000016689,None,161280.0,None,None,None,None,None,D,R,1,None,None,100.0,161280.0,2004.0,None,None,None,None,71,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96523e+008,None,None
975757,000,0901662,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:49:20,3,1.0,6,02,1967,None,None,10,4,1,2,2,2,12,7000,None,None,1,0,3,2,1,3830,1,0,None,None,None,None,0,None,None,None,0,None,None,500,3800,None,None,None,0,None,None,None,0,1,1,None,None,None,3000,2,5200,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,2184,2232,2184,2180,1.5720000267,1.0,1.0,177360,203510,None,1.04999995232,None,None,1.0,0.0,1.0,213686.0,213690.0,GD,69,None,None,147450.0,48,3320.0,147450.0,0.920000016689,None,135650.0,None,None,None,None,None,None,R,1,None,None,50.0,67830.0,2184.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96517e+008,None,None
975873,000,7001311,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:07:09,3,1.0,6,09,1987,None,None,6,2,1,2,None,2,8,3000,None,None,0,-18480,3,2,1,3570,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,1,None,2000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,2000,2000,2000,2000,1.46700000763,1.0,1.0,165500,166020,None,1.0,None,None,1.0,0.0,1.0,166020.0,166020.0,GD,83,None,None,137800.0,0,10430.0,137800.0,0.850000023842,None,117130.0,None,None,None,None,None,D,R,1,None,None,100.0,117130.0,2000.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96522e+008,None,None
976000,000,0400392,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:10:25.000001,3,1.0,6,39,1980,None,None,5,3,1,2,1,2,10,5000,None,None,1,0,3,3,1,2350,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,570,13500,None,None,None,0,2,2,None,None,None,6000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1144,1910,1144,1140,0.964999973774,1.0,1.0,108850,162920,None,1.39999997616,None,None,1.0,0.0,1.0,228088.0,228090.0,AV,72,None,None,139590.0,196,27220.0,139590.0,0.910000026226,None,127030.0,None,None,None,None,None,D,R,1,None,None,100.0,127030.0,1144.0,None,None,None,None,85,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96567e+008,None,None
976138,000,5108430,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 08:43:14,3,1.0,6,34,1928,None,None,4,2,None,1,None,2,5,0,None,None,2,-4200,2,4,1,0,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,634,634,634,630,0.666999995708,1.0,1.0,75250,76620,None,0.899999976158,None,None,1.0,0.0,1.0,68958.0,68960.0,AV,50,None,None,33100.0,0,5570.0,33100.0,0.949999988079,None,31450.0,None,None,None,None,None,D,R,1,None,None,100.0,31450.0,634.0,None,None,None,None,96,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96531e+008,None,None
976285,000,6844274,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:11:20,3,1.0,7,34,1943,None,None,6,2,None,1,None,2,5,0,None,None,1,0,3,2,1,1300,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,400,910,400,400,0.532999992371,1.0,1.0909999609,65570,105590,None,0.699999988079,None,None,1.0,0.0,1.0,73913.0,73910.0,FR,45,None,None,37920.0,510,38720.0,37920.0,0.910000026226,None,34510.0,None,None,None,None,None,D,R,1,None,None,100.0,34510.0,400.0,None,None,None,None,114,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96523e+008,None,None
976296,000,5107141,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:20:06.000001,3,1.0,6,34,1931,None,None,5,3,None,1,None,2,5,0,None,None,2,-5270,3,2,1,2040,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,924,924,924,920,0.836000025272,1.0,1.0,94360,93730,None,0.949999988079,None,None,1.0,0.0,1.0,89044.0,89040.0,AV,50,None,None,41850.0,0,2600.0,41850.0,0.949999988079,None,39760.0,None,None,None,None,None,None,R,1,None,None,100.0,39760.0,924.0,None,None,None,None,94,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.9653e+008,None,None
976418,000,6840119,1,2017,8,Y,ROUSHK,2016-12-01 14:47:30,None,None,7,2.0,1,33,1919,None,None,6,3,None,1,0,2,5,0,None,None,1,0,2,2,1,0,2,2540,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,None,None,0,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,616,1282,616,620,0.661000013351,1.5,1.0,111890,120350,None,0.800000011921,None,None,1.0,0.0,1.0,96280.0,96280.0,AV,45,None,None,31630.0,50,5920.0,31630.0,0.879999995232,None,27830.0,None,None,None,None,None,D,R,1,None,None,100.0,27830.0,1232.0,None,None,None,None,73,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96593e+008,None,None
976549,000,2801153,1,2017,0,Y,EOY ROLL,2016-11-19 06:18:26,CA402,2014-06-30 09:18:20,3,1.0,1,34,1958,None,None,6,3,1,1,1,2,7,2000,None,None,1,0,3,2,1,2810,1,0,None,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,None,None,None,0,2,2,None,None,None,6000,None,0,None,None,0,None,None,0,None,None,None,None,None,None,None,None,None,None,1.0,0.0,1456,1897,1456,1460,1.15199995041,1.0,1.0,129930,186980,None,0.949999988079,None,None,1.0,0.0,1.0,177631.0,177630.0,AV,60,None,None,115100.0,441,46240.0,115100.0,0.910000026226,None,104740.0,None,None,None,None,None,None,R,1,None,None,100.0,104740.0,1456.0,None,None,None,None,108,70,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1.96679e+008,None,None
