OBJECTID,JUR,PARID,TAXYR,LLINE,LTYPE,CODE,SEQ,CUR,WHO,WEN,WHOCALC,WENCALC,STATUS,FRONACT,FRONEFF,DEPTH,DEPTBL,DEPFACT,SF,ACRES,UNITS,EXMPPCT,EXMPVAL,OSIZE,ORATE,OINCR,ODECR,BSIZE,BRATE,BINCR,BDECR,INFL1,INFL2,INFLU,ZONING,LCODEMOD,NMOD,ZMOD,LMOD,SMOD,UMOD,SFACT,COMRES,PRICE,ADJFACT,CLASS,AGFLG,CHGRSN,NOTE1,USER1,DEACTIVAT,SALEKEY,IASW_ID,TRANS_ID,UPD_STATUS
1455913,000,3503567,2017,1,S,50,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:10,3,None,None,None,None,1.0,1400.0,0.0321,None,None,19950.0,None,None,None,None,1,14.25,14.25,14.25,None,None,None,None,1,6056,0,0,0,0,None,N,19950.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96999e+008,None,None
1456106,000,2804576,2017,1,A,02,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:47,3,None,None,None,None,1.0,45738.0,1.05,None,None,75000.0,None,None,None,None,1,75000,75000,75000,None,None,None,None,1,3011,0,0,0,0,None,N,78750.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97024e+008,None,None
1456304,000,0405527,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:01,3,None,None,None,None,1.0,114998.0,2.64,None,None,0.0,None,None,None,None,1,10500,10500,10500,None,None,None,None,0,309,0,0,0,0,None,N,24670.0,0.889999985695,None,None,None,None,TomCalpAdjust,None,None,1.96989e+008,None,None
1456497,000,4800470,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:38:56,3,None,None,None,None,1.0,48787.0,1.12,None,None,0.0,None,None,None,None,1,9500,9500,9500,None,None,None,None,0,308,0,0,0,0,None,N,10110.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.96991e+008,None,None
1456695,000,3301262,2017,1,S,02,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,None,None,None,None,1.0,22368.0,0.5135,None,None,201310.0,None,None,None,None,1,9,9,9,None,None,None,None,1,6034,0,0,0,0,None,N,201310.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97051e+008,None,None
1456890,000,4501995,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:26:15,3,None,None,None,None,1.0,43560.0,1.0,None,None,40380.0,None,None,None,None,1,42500,21250,21250,None,None,None,None,0,307,0,0,0,0,None,N,40380.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.96997e+008,None,None
1457085,000,5613072,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:01,3,None,None,None,None,1.0,43560.0,1.0,None,None,43700.0,None,None,None,None,1,47500,23750,23750,None,None,None,None,0,308,0,0,0,0,None,N,43700.0,0.920000016689,None,None,None,None,TomCalpAdjust,None,None,1.97025e+008,None,None
1457256,000,6009964,2017,1,S,50,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:51:10,3,None,None,None,None,1.0,1923.0,0.0441,None,None,18370.0,None,None,None,None,1,9.75,9.75,9.75,None,None,None,None,0,658,0,0,0,0,None,N,18370.0,0.980000019073,None,None,None,None,TomCalpAdjust,None,None,1.97016e+008,None,None
1457456,000,4801098,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:52:58,3,None,None,None,None,1.0,1502384.0,34.49,None,None,0.0,None,None,None,None,1,13750,13750,13750,None,None,None,None,1,3007,0,0,0,0,None,N,474240.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97241e+008,None,None
1457678,000,3504123,2017,1,S,50,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:20,3,None,None,None,None,1.0,1536.0,0.0353,None,None,21890.0,None,None,None,None,1,14.25,14.25,14.25,None,None,None,None,1,6056,0,0,0,0,None,N,21890.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97044e+008,None,None
1457925,000,5608942,2017,2,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:32:23,3,99.0,99,224,150,1.14999997616,22176.0,0.5091,None,None,21140.0,None,None,None,None,100,275,140,140,20,None,-30,None,0,204,0,0,0,0,None,N,21140.0,0.959999978542,None,None,None,None,TomCalpAdjust,None,None,1.96992e+008,None,None
1458145,000,5500468,2017,2,F,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:06,3,15.0,15,74,150,0.709999978542,1110.0,0.0255,None,None,1980.0,None,None,None,None,60,75,38,38,None,None,None,None,0,138,0,0,0,0,None,N,1980.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97004e+008,None,None
1458314,000,4603268,2017,2,F,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:42:14,3,100.0,100,443,150,1.25,44300.0,1.017,None,None,2690.0,None,None,None,None,100,45,23,23,None,None,None,None,0,203,0,0,0,0,None,N,5060.0,0.899999976158,None,None,None,None,TomCalpAdjust,None,None,1.96993e+008,None,None
1458556,000,5105332,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:44:52,3,50.0,50,201,150,1.12999999523,10050.0,0.2307,None,None,14690.0,None,None,None,None,100,175,90,90,None,None,None,None,0,202,0,0,0,0,None,N,14690.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97034e+008,None,None
1458778,000,4607283,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:11.000001,3,None,None,None,None,1.0,19602.0,0.45,None,None,19940.0,None,None,None,None,1,27500,13750,13750,None,None,None,None,0,304,0,0,0,0,None,N,19940.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.96994e+008,None,None
1459026,000,4604234,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:04,3,112.0,112,200,150,1.12999999523,22400.0,0.5142,None,None,32640.0,None,None,None,None,100,275,140,140,None,None,None,None,0,204,0,0,0,0,None,N,32640.0,0.990000009537,None,None,None,None,TomCalpAdjust,None,None,1.97032e+008,None,None
1459272,000,5802235,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:48:24,3,137.0,137,165,150,1.04999995232,22605.0,0.5189,None,None,52780.0,None,None,None,None,100,425,210,210,None,None,None,None,0,207,0,0,0,0,None,N,52780.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97077e+008,None,None
1459518,000,5608062,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:29:06,3,71.0,71,113,150,0.860000014305,8023.0,0.1842,None,None,22740.0,None,None,None,None,70,375,190,190,None,None,None,None,0,155,0,0,0,0,None,N,22740.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.9699e+008,None,None
1459787,000,0211549,2017,1,F,21,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:32:32,3,30.0,30,100,150,0.810000002384,3000.0,0.0689,None,None,7970.0,None,None,None,None,40,290,145,145,None,None,None,None,0,108,0,0,0,0,None,N,7970.0,0.97000002861,None,None,None,None,TomCalpAdjust,None,None,1.97006e+008,None,None
1460082,000,1900314,2017,1,A,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:39:59.000001,3,None,None,None,None,1.0,21780.0,0.5,None,None,51270.0,None,None,None,None,1,77500,38750,38750,20,None,-2,None,0,314,0,0,0,0,None,N,51270.0,0.899999976158,None,None,None,None,TomCalpAdjust,None,None,1.97046e+008,None,None
1460372,000,5107035,2017,1,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,None,None,3,130.0,130,310,150,1.20000004768,40300.0,0.9252,None,None,30030.0,None,None,None,None,100,225,110,110,None,None,None,None,0,203,0,0,0,0,None,N,30030.0,0.97000002861,None,None,None,None,TomCalpAdjust,None,None,1.97089e+008,None,None
1460618,000,4600449,2017,1,A,02,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:45:13,3,None,None,None,None,1.0,43560.0,1.0,None,None,46750.0,None,None,None,None,1,55000,55000,55000,20,None,-15,None,1,3007,0,0,0,0,None,N,46750.0,1.0,None,None,None,None,TomCalpAdjust,None,None,1.97045e+008,None,None
1460879,000,4608171,2017,2,F,01,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:39:07,3,66.0,66,119,150,0.889999985695,7854.0,0.1803,None,None,32590.0,None,None,None,None,90,475,240,240,None,None,None,None,0,191,0,0,0,0,None,N,32590.0,0.990000009537,None,None,None,None,TomCalpAdjust,None,None,1.97007e+008,None,None
1461121,000,4800428,2017,2,A,09,0,Y,EOY ROLL,2016-11-19 06:22:51,LP401,2014-06-30 08:32:32,3,None,None,None,None,1.0,29185.0,0.67,None,None,0.0,None,None,None,None,1,7500,7500,7500,None,None,None,None,0,306,0,0,0,0,None,N,4770.0,0.949999988079,None,None,None,None,TomCalpAdjust,None,None,1.97007e+008,None,None
