OBJECTID,InspectionStatus,SURVEY_DATE,PARID,ADDR,FRONTAGE,DEPTH,AREA_SQFT,AREA_ACRES,LAND_VAL,BLDG_VAL,TTL_VAL,ZONING,CURR_USE,LICENSE,PREF_USE,SECND_USE,REC_PRICE,COMMENTS,NBRHD,WARD_2012,LUC,STNUMB,STNUMB2,STDIR,STNAME,STTYPE,Z_,MODIFIED_BY,LAST_MODIFIED,STATUSSINCESURVEY,SHAPE_STArea(),SHAPE_STLength()
2709,Y,2016-06-07 04:00:00,6802674,1179 MOUNT VERNON AVE,50,110,5502,0.1263,15300,None,None,U-1,7, ,11,0,None,None,North Hill,W2,640,1179,None,None,MOUNT VERNON,AVE,None,ROZENDA,2017-02-21 11:58:00,None,5503.09143066,320.525227259
2710,Y,2016-06-07 04:00:00,6705270,1175 MOUNT VERNON AVE,50,110,5502,0.1263,15300,None,None,U-1,7, ,11,0,None,None,North Hill,W2,640,1175,None,None,MOUNT VERNON,AVE,None,ROZENDA,2017-02-21 11:58:00,None,5497.92773438,320.31786061
2711,Y,2016-06-07 04:00:00,6714262,1083 DAYTON ST,40,109,4360,0.1001,12720,None,None,U-1,7, ,12,0,None,None,North Hill,W2,640,1083,None,None,DAYTON,ST,None,ROZENDA,2017-02-21 11:58:00,None,4521.99938965,303.110318149
2712,Y,2016-06-07 04:00:00,6838341,1074 BIG FALLS AVE,40,120,4800,0.1102,13310,None,None,U-1,7, ,12,0,None,Lot sale in progress.,North Hill,W2,640,1074,None,None,BIG FALLS,AVE,None,ROZENDA,2017-02-21 11:58:00,None,4672.72900391,316.41870052
2713,Y,2016-06-07 04:00:00,6858710,E CUYAHOGA FALLS AVE,None,None,3646,0.0837,8530,None,None,U-3,8, ,8,0,None,None,North Hill,W2,640,None,None,E,CUYAHOGA FALLS,AVE,None,ROZENDA,2017-02-21 11:58:00,None,3586.01416016,276.14757326
2714,Y,2016-06-07 04:00:00,6801857,829 N MAIN ST,None,None,8499,0.1951,32510,None,None,U-3,8, ,8,0,None,Temple Square,North Hill,W2,640,829,None,N,MAIN,ST,None,ROZENDA,2017-02-21 11:58:00,None,8885.33093262,381.785453718
2715,Y,2016-07-05 04:00:00,7001642,HAMPTON RIDGE DR,None,None,436,0.01,550,None,None,Unknown,14, ,14,0,None,None,Merriman Valley,W8,640,None,None,None,HAMPTON RIDGE,DR,None,ROZENDA,2017-02-21 11:58:00,None,604.666137695,98.9799478712
2716,Y,2016-06-17 04:00:00,6716389,BARCELONA DR,71,120,8520,0.1956,21770,None,None,U-1,8, ,8,0,None,"Karona park, see adjacent parcels for pic ",Merriman Valley,W8,640,None,None,None,BARCELONA,DR,None,ROZENDA,2017-02-21 11:58:00,None,8314.89611816,381.162919077
2717,Y,2016-06-17 04:00:00,6716380,KAREN DR,60,209,12541,0.2879,25430,None,None,U-1,8, ,8,0,None,"Karina Park, see adjacent parcels for pic ",Merriman Valley,W8,640,None,None,None,KAREN,DR,None,ROZENDA,2017-02-21 11:58:00,None,12784.8780518,535.704680635
2718,Y,2016-06-17 04:00:00,6716398,KAREN DR,3,193,11683,0.2682,1120,None,None,U-1,8, ,8,0,None,"Karina Park, see adjacent parcels for pic ",Merriman Valley,W8,640,None,None,None,KAREN,DR,None,ROZENDA,2017-02-21 11:58:00,None,12029.4016113,522.55573012
2719,Y,2016-06-17 04:00:00,6716395,BARCELONA DR,65,120,7802,0.1791,20750,None,None,U-1,8, ,8,0,None,See adjacent parcels for pic ,Merriman Valley,W8,640,None,None,None,BARCELONA,DR,None,ROZENDA,2017-02-21 11:58:00,None,7528.5793457,360.292956263
2720,Y,2016-06-17 04:00:00,6716392,BARCELONA DR,None,None,10202,0.2342,17850,None,None,U-1,8, ,8,0,None,Karina Park,Merriman Valley,W8,640,None,None,None,BARCELONA,DR,None,ROZENDA,2017-02-21 11:58:00,None,10323.5681152,411.961331578
2721,Y,2016-06-17 04:00:00,6817663,BARCELONA DR,97,123,11931,0.2739,17470,None,None,U-1,7, ,11,12,None,None,Merriman Valley,W8,640,None,None,None,BARCELONA,DR,None,ROZENDA,2017-02-21 11:58:00,None,12276.6516113,449.110291997
